 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
142,1,255,0,255,255,255,79.500,8.500,79.500,8.500,2.828,79,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,79,8,135.000,1.000,1.000,1.000,1.000
143,1,255,0,255,255,255,85.500,8.500,85.500,8.500,2.828,85,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,85,8,135.000,1.000,1.000,1.000,1.000
144,1,255,0,255,255,255,87.500,8.500,87.500,8.500,2.828,87,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,87,8,135.000,1.000,1.000,1.000,1.000
145,1,255,0,255,255,255,89.500,8.500,89.500,8.500,2.828,89,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,89,8,135.000,1.000,1.000,1.000,1.000
146,1,255,0,255,255,255,91.500,8.500,91.500,8.500,2.828,91,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,91,8,135.000,1.000,1.000,1.000,1.000
147,1,255,0,255,255,255,93.500,8.500,93.500,8.500,2.828,93,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,93,8,135.000,1.000,1.000,1.000,1.000
148,1,255,0,255,255,255,95.500,8.500,95.500,8.500,2.828,95,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,95,8,135.000,1.000,1.000,1.000,1.000
149,1,255,0,255,255,255,99.500,8.500,99.500,8.500,2.828,99,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,99,8,135.000,1.000,1.000,1.000,1.000
150,1,255,0,255,255,255,105.500,8.500,105.500,8.500,2.828,105,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,105,8,135.000,1.000,1.000,1.000,1.000
151,1,255,0,255,255,255,109.500,8.500,109.500,8.500,2.828,109,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,109,8,135.000,1.000,1.000,1.000,1.000
152,1,255,0,255,255,255,113.500,8.500,113.500,8.500,2.828,113,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,113,8,135.000,1.000,1.000,1.000,1.000
153,1,255,0,255,255,255,115.500,8.500,115.500,8.500,2.828,115,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,115,8,135.000,1.000,1.000,1.000,1.000
154,1,255,0,255,255,255,117.500,8.500,117.500,8.500,2.828,117,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,117,8,135.000,1.000,1.000,1.000,1.000
155,1,255,0,255,255,255,119.500,8.500,119.500,8.500,2.828,119,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,119,8,135.000,1.000,1.000,1.000,1.000
156,1,255,0,255,255,255,121.500,8.500,121.500,8.500,2.828,121,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,121,8,135.000,1.000,1.000,1.000,1.000
157,1,255,0,255,255,255,127.500,8.500,127.500,8.500,2.828,127,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,127,8,135.000,1.000,1.000,1.000,1.000
158,1,255,0,255,255,255,129.500,8.500,129.500,8.500,2.828,129,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,129,8,135.000,1.000,1.000,1.000,1.000
159,1,255,0,255,255,255,131.500,8.500,131.500,8.500,2.828,131,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,131,8,135.000,1.000,1.000,1.000,1.000
160,1,255,0,255,255,255,135.500,8.500,135.500,8.500,2.828,135,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,135,8,135.000,1.000,1.000,1.000,1.000
161,1,255,0,255,255,255,137.500,8.500,137.500,8.500,2.828,137,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,137,8,135.000,1.000,1.000,1.000,1.000
162,1,255,0,255,255,255,139.500,8.500,139.500,8.500,2.828,139,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,139,8,135.000,1.000,1.000,1.000,1.000
